GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,InsertSiblingAction,0,89,0,10,0,22,0,9,0,4
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,AbstractXPathAction,27,121,2,8,4,28,2,9,0,6
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,ActionException,4,9,0,0,2,4,1,2,1,2
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,TemplatePostProcessor,98,0,8,0,29,0,9,0,5,0
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,InvalidXPathActionException,8,5,0,0,4,2,2,1,2,1
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,TemplateParserException,23,0,0,0,10,0,5,0,5,0
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,DeleteAction,0,47,0,6,0,11,0,5,0,2
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,ModifyAttributeAction,0,33,0,2,0,9,0,4,0,3
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,AddAttributeAction,21,104,1,7,2,23,1,8,0,5
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,ActionProcessingException,4,9,0,0,2,4,1,2,1,2
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,DefaultTemplateProcessor,21,98,4,6,4,26,5,7,1,6
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,TemplateParser,94,344,7,18,15,87,7,24,1,15
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,NoXPathResultsActionException,9,4,0,0,4,2,2,1,2,1
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,ReplaceAction,0,88,0,10,0,24,0,8,0,3
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,TemplateProcessorBuilder,0,69,0,2,0,22,0,10,0,9
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.document.post.template,InsertChildAction,10,239,3,27,2,44,4,17,1,5
Decima Framework XML Templating,gov.nist.secauto.decima.xml.templating.services,TemplatingResourceResolverExtension,0,4,0,0,0,2,0,1,0,1
