GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Decima Framework Core,gov.nist.secauto.decima.core.assessment,AbstractAssessmentExecutor,0,63,0,2,0,18,0,6,0,5
Decima Framework Core,gov.nist.secauto.decima.core.assessment,AssessmentReactor,0,65,0,2,0,18,0,7,0,6
Decima Framework Core,gov.nist.secauto.decima.core.assessment,AssessmentExecution,0,30,0,0,0,10,0,4,0,4
Decima Framework Core,gov.nist.secauto.decima.core.assessment,ConcurrentAssessmentExecutorFactory,0,24,0,0,0,7,0,4,0,4
Decima Framework Core,gov.nist.secauto.decima.core.assessment,DefaultConditionalAssessment,44,0,2,0,13,0,8,0,7,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment,AssessmentException,15,8,0,0,6,4,3,2,3,2
Decima Framework Core,gov.nist.secauto.decima.core.assessment,ConcurrentAssessmentExecutor.AssessmentTask,36,0,0,0,10,0,2,0,2,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment,AbstractAssessment,29,106,3,7,7,29,4,10,1,8
Decima Framework Core,gov.nist.secauto.decima.core.assessment,AssessmentExecutionHelper,3,70,0,2,1,18,1,3,1,2
Decima Framework Core,gov.nist.secauto.decima.core.assessment,BasicAssessmentExecutorFactory,5,3,0,0,1,2,1,1,1,1
Decima Framework Core,gov.nist.secauto.decima.core.assessment,ConcurrentAssessmentExecutor,93,18,8,0,20,6,5,3,1,3
Decima Framework Core,gov.nist.secauto.decima.core.assessment,BasicAssessmentExecutor,8,0,0,0,3,0,1,0,1,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment.logic,AbstractLogicAssessment,26,0,0,0,7,0,4,0,4,0
Decima Framework Core,gov.nist.secauto.decima.core.document,DefaultSourceInfo,34,0,2,0,13,0,5,0,4,0
Decima Framework Core,gov.nist.secauto.decima.core.document,DocumentException,23,0,0,0,10,0,5,0,5,0
Decima Framework Core,gov.nist.secauto.decima.core.classpath,ClasspathHandler,73,0,6,0,20,0,9,0,6,0
Decima Framework Core,gov.nist.secauto.decima.core.classpath,CustomURLStreamHandlerFactory,38,0,2,0,10,0,5,0,4,0
Decima Framework Core,gov.nist.secauto.decima.core.document.handling,MappedCachingStrategy,61,0,8,0,13,0,8,0,4,0
Decima Framework Core,gov.nist.secauto.decima.core.requirement,RequirementsParserException,23,0,0,0,10,0,5,0,5,0
Decima Framework Core,gov.nist.secauto.decima.core.requirement,DefaultSpecificationReference,60,0,0,0,14,0,8,0,8,0
Decima Framework Core,gov.nist.secauto.decima.core.requirement,AbstractBaseRequirement,38,0,0,0,7,0,5,0,5,0
Decima Framework Core,gov.nist.secauto.decima.core.requirement,RequirementType,40,130,5,2,12,20,9,4,4,4
Decima Framework Core,gov.nist.secauto.decima.core.requirement,AbstractRequirement,64,28,4,0,17,9,7,3,5,3
Decima Framework Core,gov.nist.secauto.decima.core.requirement,DefaultBaseRequirement,47,0,0,0,11,0,5,0,5,0
Decima Framework Core,gov.nist.secauto.decima.core.requirement,DefaultDerivedRequirement,117,52,15,1,22,17,10,5,2,5
Decima Framework Core,gov.nist.secauto.decima.core.requirement,DefaultSpecification,15,0,0,0,6,0,3,0,3,0
Decima Framework Core,gov.nist.secauto.decima.core.requirement,DefaultRequirementsManager,117,0,6,0,23,0,11,0,8,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment.util,AssessmentLoggingHandler,120,0,6,0,32,0,14,0,11,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment.util,AssessmentSummarizingLoggingHandler.AssessmentStatsImpl,22,207,11,11,5,45,11,9,2,7
Decima Framework Core,gov.nist.secauto.decima.core.assessment.util,AssessmentSummarizingLoggingHandler,124,114,18,6,26,33,15,11,3,11
Decima Framework Core,gov.nist.secauto.decima.core.assessment.util,AssessmentSequence,67,0,4,0,17,0,8,0,6,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment.util,OverallSummaryLoggingHandler,217,0,18,0,46,0,16,0,7,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment.util,TestResultLoggingHandler,87,0,9,0,27,0,11,0,5,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment.util,AbstractDelegatingLoggingHandler,88,18,19,3,27,9,19,4,8,4
Decima Framework Core,gov.nist.secauto.decima.core.assessment.util,NoOpLoggingHandler,5,16,0,0,5,9,5,9,5,9
Decima Framework Core,gov.nist.secauto.decima.core.util,URLUtil,16,0,0,0,3,0,2,0,2,0
Decima Framework Core,gov.nist.secauto.decima.core.util,URIUtil,6,184,16,30,0,35,14,13,0,4
Decima Framework Core,gov.nist.secauto.decima.core.util,ObjectUtil,64,20,20,4,17,7,16,4,5,3
Decima Framework Core,gov.nist.secauto.decima.core.util,ExecutorServiceUtil.ShutdownThread,17,29,1,1,5,10,1,3,0,3
Decima Framework Core,gov.nist.secauto.decima.core.util,ExecutorServiceUtil,0,11,0,0,0,2,0,1,0,1
Decima Framework Core,gov.nist.secauto.decima.core.util,Log4jErrorListener,28,0,0,0,9,0,4,0,4,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,DefaultResultStatusBehavior,0,5,0,0,0,3,0,2,0,2
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,TestState,0,34,0,0,0,4,0,1,0,1
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,BasicTestResult,62,0,0,0,18,0,8,0,8,0
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,DefaultDerivedRequirementResult,20,62,1,3,3,17,3,5,2,4
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,Severity,0,44,0,0,0,5,0,1,0,1
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,DefaultBaseRequirementResult,22,42,1,1,3,10,3,4,2,4
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,DefaultAssessmentResults,82,67,4,2,18,15,11,4,9,3
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,DefaultAssessmentResultBuilder,175,383,31,23,40,101,27,21,4,16
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,TestStatus,0,44,0,0,0,5,0,1,0,1
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,ResultStatus,0,74,0,0,0,8,0,1,0,1
Decima Framework Core,gov.nist.secauto.decima.core.assessment.result,AbstractRequirementResult,0,17,0,0,0,8,0,4,0,4
Decima Framework Core,gov.nist.secauto.decima.core,Decima,47,9,0,0,10,2,10,2,10,2
Decima Framework Core,sun.net.www.protocol.classpath,Handler,11,0,0,0,5,0,3,0,3,0
