GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment,Factory,107,0,2,0,19,0,18,0,17,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,SchematronAssessment,258,63,17,1,61,20,12,9,3,9
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,AbstractDerivedRequirementParsingHandler,169,0,14,0,35,0,17,0,10,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,SingleDerivedRequirementSchematronHandler,26,0,0,0,6,0,3,0,3,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,SchematronAssertionEntry.AssertionType,24,0,0,0,3,0,1,0,1,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,AbstractIdAwareSchematronHandler,52,0,2,0,13,0,5,0,4,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,SchematronAssertionEntry,15,0,0,0,6,0,3,0,3,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,DefaultSchematronHandler,22,0,0,0,6,0,3,0,3,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,SingleDerivedRequirementSVRLHandler,64,0,0,0,18,0,4,0,4,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,ResultGeneratingSVRLHandler,72,0,0,0,20,0,4,0,4,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,SVRLParser,77,0,10,0,26,0,10,0,3,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,DerivedRequirementParsingHandler,7,0,0,0,2,0,2,0,2,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,AbstractSVRLHandler,121,0,6,0,36,0,13,0,10,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schematron,AbstractIdAwareSVRLHandler,106,0,12,0,23,0,11,0,5,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,DelegatingXMLFilter,78,0,0,0,26,0,17,0,17,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,XMLPathLocationAssessmentXMLFilter,22,0,0,0,7,0,4,0,4,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,SchemaAssessment.ProxyResolver,17,0,0,0,5,0,2,0,2,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,XPathLocatingContentHandler.XPathContext,91,0,4,0,23,0,6,0,4,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,XMLPathLocationAssessmentXMLFilter.AssessmentContextHandler,46,0,0,0,13,0,5,0,5,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,SAXContext,41,0,0,0,13,0,6,0,6,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,XPathLocatingContentHandler,88,0,4,0,34,0,19,0,17,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,SchemaAssessment,223,0,14,0,62,0,20,0,13,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,AbstractDelegatingContentHandler,73,0,0,0,26,0,13,0,13,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,SAXTestResult,16,0,0,0,3,0,1,0,1,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.schema,AssessmentSAXErrorHandler,81,0,2,0,21,0,8,0,7,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.assessment.service,XmlAssessmentResourceResolverExtension,0,4,0,0,0,2,0,1,0,1
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.schematron,SchematronEvaluationException,23,0,0,0,10,0,5,0,5,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.schematron,SchematronParser,84,0,14,0,20,0,12,0,5,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.schematron,SchematronException,23,0,0,0,10,0,5,0,5,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.schematron,DefaultSchematronCompiler,341,0,30,0,101,0,32,0,17,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.schematron,SchematronCompilationException,23,0,0,0,10,0,5,0,5,0
Decima Framework XML Assessment Support,gov.nist.secauto.decima.xml.schematron,DefaultSchematron,260,0,18,0,75,0,19,0,10,0
