GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,AbstractJDOMDocument,77,52,0,0,17,12,6,10,6,10
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,JDOMDocument,162,130,4,2,42,38,8,12,5,12
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,JDOMBasedXPathEvaluator,0,56,0,0,0,13,0,6,0,6
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,DefaultXMLDocumentFactory,291,0,12,0,73,0,25,0,19,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,DefaultXMLDocumentFactory.NoCachingStrategy,3,0,0,0,2,0,2,0,2,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,CompositeXMLDocument,111,93,3,3,24,24,8,6,6,5
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,SimpleXPathContext,4,27,0,0,1,10,1,5,1,5
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,XPathNamespaceContext,98,88,15,7,24,24,13,8,4,6
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,XPathCondition,5,57,0,0,1,13,1,3,1,3
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,AbstractXPathEvaluator,81,85,10,4,21,26,13,10,7,9
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,SimpleXMLDocumentResolver,8,0,0,0,2,0,2,0,2,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,CompositeXMLDocument.CompositeXMLContextResolver,4,48,1,5,1,13,1,5,0,3
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,DefaultXMLDocumentFactory.CyclePreventingDocumentResolver,65,0,4,0,14,0,5,0,3,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,XMLDocumentFragment,72,71,3,1,15,18,9,6,7,6
Decima Framework XML Support,gov.nist.secauto.decima.xml.document,XMLDocumentFragment.FragmentXMLContextResolver,6,29,0,0,2,8,0,2,0,2
Decima Framework XML Support,gov.nist.secauto.decima.xml.document.context,UnknownLocated,17,0,0,0,5,0,5,0,5,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.document.context,DefaultXMLContextResolver,32,288,6,17,7,75,5,24,0,17
Decima Framework XML Support,gov.nist.secauto.decima.xml.service,CompositeLSResourceResolver,72,0,12,0,14,0,9,0,3,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.service,CompositeEntityResolver,80,0,12,0,24,0,10,0,4,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.service,TransformerExtensionService,0,31,1,3,0,10,1,4,0,3
Decima Framework XML Support,gov.nist.secauto.decima.xml.service,SaxonInitializer,7,0,0,0,3,0,2,0,2,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.service,AbstractCatalogResourceResolverExtension,25,0,0,0,8,0,4,0,4,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.service,ResourceResolverExtensionService,83,61,15,7,20,15,10,6,1,4
Decima Framework XML Support,gov.nist.secauto.decima.xml.jdom2,NamespaceUtil,124,0,18,0,30,0,15,0,6,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.jdom2,JDOMUtil,69,0,0,0,15,0,7,0,7,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.service.extension,TransformerExtension,0,9,0,0,0,3,0,2,0,2
Decima Framework XML Support,gov.nist.secauto.decima.xml.service.extension,Evaluate.FunctionCall,37,0,0,0,9,0,1,0,1,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.service.extension,Evaluate,0,33,0,0,0,7,0,6,0,6
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2ObjectModel.new JPConverter() {...},15,0,0,0,3,0,3,0,3,0
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2ObjectModel.new PJConverter() {...},12,0,0,0,2,0,2,0,2,0
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2NodeWrapper.AttributeEnumeration,8,42,0,2,1,8,1,3,1,2
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2Query,67,0,2,0,16,0,4,0,3,0
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2ObjectModel,249,0,58,0,61,0,50,0,21,0
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2Transform,120,0,10,0,29,0,8,0,3,0
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2NodeWrapper.new NodeWrappingFunction() {...},0,12,0,0,0,2,0,2,0,2
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2NodeWrapper.DescendantWrappingIterator,8,8,0,0,1,3,1,2,1,2
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2NodeWrapper,639,285,116,39,146,66,89,24,14,16
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2Writer,279,0,22,0,75,0,29,0,18,0
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2DocumentWrapper,67,17,10,0,14,5,6,2,1,2
Decima Framework XML Support,net.sf.saxon.option.jdom2,JDOM2NodeWrapper.ChildEnumeration,253,122,43,15,60,29,27,5,1,2
Decima Framework XML Support,gov.nist.secauto.decima.xml.requirement,XMLRequirementsParser,430,0,26,0,99,0,26,0,13,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.assessment.result,XMLResultBuilder,518,0,30,0,105,0,27,0,12,0
Decima Framework XML Support,gov.nist.secauto.decima.xml.assessment.result,ReportGenerator,151,157,14,4,38,42,21,11,12,11
Decima Framework XML Support,gov.nist.secauto.decima.xml.jdom2.saxon.xpath,SaxonXPathFactory,0,32,0,0,0,9,0,5,0,5
Decima Framework XML Support,gov.nist.secauto.decima.xml.jdom2.saxon.xpath,CompiledXPath.TranslatedNamespaceContext,39,79,5,3,11,17,6,5,3,4
Decima Framework XML Support,gov.nist.secauto.decima.xml.jdom2.saxon.xpath,SaxonCompiledXPath,42,32,3,1,9,7,3,3,1,3
Decima Framework XML Support,gov.nist.secauto.decima.xml.jdom2.saxon.xpath,CompiledXPath,43,69,1,1,7,18,2,5,1,5
Decima Framework XML Support,gov.nist.secauto.decima.xml.util,ExtendedXSLTransformer,9,8,0,0,3,3,1,1,1,1
Decima Framework XML Support,gov.nist.secauto.decima.xml.util,XSLTransformer,34,43,3,1,10,14,3,4,1,4
